iter	Accuracy	Logloss
201	0.8878611107	0.2695463346
202	0.8878787398	0.2695379312
203	0.887875214	0.2695255986
204	0.8879122351	0.269515175
205	0.8879051835	0.2694989359
206	0.8879104722	0.2694984419
207	0.8879034206	0.2694913105
208	0.8878998948	0.2694763748
209	0.8879034206	0.2694659982
210	0.8879016577	0.2694602208
211	0.8879263384	0.2694363566
212	0.8879333901	0.2694232405
213	0.8879298643	0.2694153961
214	0.8879386788	0.2694058425
215	0.8879545451	0.269391313
216	0.8879386788	0.2693837203
217	0.8879651225	0.2693736323
218	0.8879792258	0.269365696
219	0.8879704113	0.2693608043
220	0.8879739371	0.2693523966
221	0.8879651225	0.2693396769
222	0.8879598338	0.2693297716
223	0.8879633596	0.2693202109
224	0.8879792258	0.2693073772
225	0.8879986179	0.2692988263
226	0.8880021437	0.269289053
227	0.8879986179	0.2692707853
228	0.8880144841	0.2692640472
229	0.8880250616	0.2692547547
230	0.888035639	0.2692435179
231	0.8880321132	0.2692353232
232	0.888035639	0.2692055542
233	0.8880638457	0.269193901
234	0.8880673715	0.2691851083
235	0.8880585569	0.2691768661
236	0.8880532682	0.2691659659
237	0.8880708973	0.2691599237
238	0.8880814748	0.2691475758
239	0.8881043927	0.2691215519
240	0.8881290734	0.269108845
241	0.8881537542	0.2690915305
242	0.8881484655	0.2690835695
243	0.8881414138	0.2690776742
244	0.8881414138	0.2690749277
245	0.8881414138	0.2690711478
246	0.8881537542	0.2690629421
247	0.8881484655	0.2690535139
248	0.8881590429	0.2690463174
249	0.8881484655	0.2690406778
250	0.8881502284	0.2690325341
251	0.8881555171	0.2690252718
252	0.8881519913	0.269017939
253	0.8881537542	0.2690139622
254	0.8881502284	0.2690012223
255	0.8881537542	0.2689946274
256	0.8881608059	0.2689693557
257	0.8881731463	0.2689647182
258	0.888178435	0.268958697
259	0.88815728	0.2689508007
260	0.8881713833	0.268927502
261	0.8881731463	0.2689182584
262	0.888178435	0.2689103221
263	0.8881943012	0.26890191
264	0.8881943012	0.2688921732
265	0.8881890125	0.2688901102
266	0.8882048787	0.2688717879
267	0.888197827	0.2688621751
268	0.8881995899	0.2688553259
269	0.888218982	0.2688452466
270	0.8882101674	0.2688389158
271	0.888197827	0.2688297583
272	0.8881943012	0.2688234033
273	0.8882172191	0.268815005
274	0.8882454257	0.2687800529
275	0.8882489515	0.2687749303
276	0.8882436628	0.268761981
277	0.8882489515	0.2687478179
278	0.8882524773	0.268709318
279	0.8882577661	0.2687031566
280	0.8882683435	0.2686992872
281	0.8882630548	0.2686956319
282	0.8882577661	0.2686893635
283	0.8882806839	0.2686702851
284	0.8882842098	0.268665073
285	0.8882683435	0.2686564152
286	0.888278921	0.2686459907
287	0.8882912614	0.2686291939
288	0.8883159422	0.2686024769
289	0.8882947872	0.2685966352
290	0.8882930243	0.2685897133
291	0.8883335713	0.2685801828
292	0.8883282826	0.2685749408
293	0.8883370972	0.268562404
294	0.888340623	0.268553135
295	0.8883282826	0.2685287005
296	0.8883335713	0.268519832
297	0.8883547263	0.2685092482
298	0.8883547263	0.2685027018
299	0.8883564892	0.268468252
300	0.8883758812	0.2684347306
301	0.8883776441	0.2684282222
302	0.8884093766	0.2683996093
303	0.8884234799	0.2683718262
304	0.8884023249	0.2683516921
305	0.8884234799	0.2683102312
306	0.8884252428	0.268302535
307	0.8884428719	0.2682889138
308	0.8884375832	0.2682787644
309	0.888441109	0.2682582397
310	0.8884516865	0.2682500039
311	0.8884463978	0.2682359076
312	0.8884481607	0.2682294734
313	0.8884605011	0.268218021
314	0.8884534494	0.2681977991
315	0.8884499236	0.2681901269
316	0.8884640269	0.2681739066
317	0.8884904706	0.2681628145
318	0.8884922335	0.2681524838
319	0.8885169143	0.268138482
320	0.8885186772	0.2681301384
321	0.8885310176	0.2681047322
322	0.8885363063	0.2680957298
323	0.8885363063	0.268095348
324	0.8885363063	0.2680832601
325	0.8885363063	0.2680831148
326	0.8885574613	0.2680634442
327	0.8885662758	0.2680424589
328	0.8885786162	0.2680310055
329	0.8885891937	0.2680233093
330	0.888582142	0.2680130139
331	0.8885856679	0.2680064718
332	0.8886050599	0.2679990464
333	0.8885997712	0.2679659924
334	0.8886332665	0.267960031
335	0.8886579473	0.2679479803
336	0.8886702877	0.2679415895
337	0.8886614731	0.2679335393
338	0.8886561844	0.2679269444
339	0.8886508956	0.2679166551
340	0.8886526586	0.26791167
341	0.8886508956	0.2679005137
342	0.8886544215	0.2678999828
343	0.8886597102	0.2678844385
344	0.8886561844	0.2678747696
345	0.8886473698	0.2678666673
346	0.8886473698	0.2678559508
347	0.8886685248	0.2678422148
348	0.888663236	0.2678357217
349	0.8886755764	0.2678215877
350	0.8886755764	0.267821575
351	0.8886685248	0.2678164973
352	0.8886456069	0.2678047457
353	0.8886526586	0.2678045594
354	0.8886808652	0.2677872827
355	0.8886702877	0.2677791386
356	0.8886861539	0.2677620284
357	0.8886984943	0.2677558635
358	0.8886984943	0.2677558553
359	0.8887002572	0.2677526717
360	0.8886896797	0.2677463419
361	0.8886967314	0.2677331441
362	0.8886967314	0.2677232499
363	0.8886914426	0.2677078587
364	0.8886914426	0.2677078475
365	0.8886932056	0.2676972504
366	0.8886861539	0.2676818545
367	0.8886914426	0.267674081
368	0.8887055459	0.2676677548
369	0.8887002572	0.2676595484
370	0.8886808652	0.2676562634
371	0.8886808652	0.2676562624
372	0.8886808652	0.2676561673
373	0.8886808652	0.2676559699
374	0.8886879168	0.2676473412
375	0.8887020201	0.2676393123
376	0.8887002572	0.2676247498
377	0.8887125976	0.2676174884
378	0.8887143605	0.2676089323
379	0.8887302267	0.2675977281
380	0.8887196493	0.2675914689
381	0.888724938	0.2675853613
382	0.8887178863	0.2675772802
